Name,Insurance Number,Reporting Date,Assets,Shares,Liabilities,Net Worth,Revenue,Dividends,Expenses,Net Income
North Western Employees,64282,12/31/2012,7398056,6194170,20610,1183276,362222,62595,250179,49448
North Western Employees,64282,12/31/2013,7368685,6109980,14155,1244550,365712,46461,257977,61274
North Western Employees,64282,12/31/2014,7948474,6638572,11310,1298592,357990,45025,258923,54042
North Western Employees,64282,12/31/2015,7669212,6284108,9691,1375413,367737,43679,250982,73076
North Western Employees,64282,12/31/2016,7412129,5972888,8124,1431117,355487,39966,259817,55704
North Western Employees,64282,12/31/2017,7315310,5810632,8383,1492962,364746,39651,263249,61846
Village,64308,12/31/2018,14958120,13033113,258320,1643550,982443,53719,1012589,-84127
Village,64308,12/31/2005,7143263,5906400,20544,1216319,516220,31631,468224,16365
Village,64308,12/31/2006,6801713,5518668,24702,1258343,564193,47266,474904,42023
Village,64308,12/31/2007,6881206,5538435,43739,1299032,617637,65633,511315,40689
Village,64308,12/31/2008,7661178,6306774,41369,1313035,603458,60913,528542,14003
Village,64308,12/31/2009,8065012,6696466,40719,1327827,659814,45603,546104,14792
Village,64308,12/31/2010,8320542,6922979,37759,1359804,590180,31348,526855,31977
Village,64308,12/31/2011,8960756,7560970,43944,1355842,570150,25107,547563,-2520
Village,64308,12/31/2012,9788607,8393524,28761,1366322,550383,19759,520144,10480
Village,64308,12/31/2013,9370577,7949816,34781,1385980,576808,13981,543170,19657
Village,64308,12/31/2014,10601980,9125227,40439,1436314,672344,11770,610230,50344
Village,64308,12/31/2015,11400939,9763830,91498,1545611,786301,11867,665137,109297
Village,64308,12/31/2016,12532193,10829605,66955,1635633,876764,18124,767011,91629
Village,64308,12/31/2017,12709687,10921784,52549,1727677,899900,39822,768034,92044
ACE,64323,12/31/2018,7775288,6577673,5442,1192173,192951,29832,112952,50167
ACE,64323,12/31/2005,6029064,5276605,1243,751216,264195,124463,79523,60209
ACE,64323,12/31/2006,5311160,4443668,54449,813043,270909,127739,81343,61827
ACE,64323,12/31/2007,5224394,4384935,1614,837845,246856,133789,88265,24802
ACE,64323,12/31/2008,6021299,5116843,24220,880236,272800,151048,94265,27487
ACE,64323,12/31/2009,7621225,6692118,3987,925120,272686,111800,105321,44884
ACE,64323,12/31/2010,8776192,7830700,4185,941307,280572,125828,120015,34729
ACE,64323,12/31/2011,9059074,8091285,4243,963546,227188,77137,127812,22239
ACE,64323,12/31/2012,9362502,8330118,4421,1027963,199002,66037,114672,18293
ACE,64323,12/31/2013,9935937,8883020,4767,1048150,189553,53717,115649,20187
ACE,64323,12/31/2014,9807319,8729169,5350,1072800,158936,29383,104903,24650
ACE,64323,12/31/2015,9779632,8679964,6044,1093624,149064,21472,106768,20824
ACE,64323,12/31/2016,9714770,8599085,4039,1111646,143094,24904,102642,15548
ACE,64323,12/31/2017,9194706,8047788,4913,1142005,166415,27326,108729,30360
Oelwein-Cresco,64329,12/31/2005,807509,587916,675,218918,48353,9408,27272,11673
Oelwein-Cresco,64329,12/31/2006,874225,644210,682,229333,53784,13688,29681,10415
Oelwein-Cresco,64329,12/31/2007,861416,621413,683,239320,59740,15005,34747,9988
Oelwein-Cresco,64329,12/31/2008,931347,685812,734,244801,57293,12470,39342,5481
Oelwein-Cresco,64329,12/31/2009,999212,750177,539,248496,51870,8044,34347,3694
Oelwein-Cresco,64329,12/31/2010,1029675,778246,336,251093,48537,6711,39243,2583
Oelwein-Cresco,64329,12/31/2011,1123527,879652,389,243486,45453,4862,48199,-7608
Oelwein-Cresco,64329,12/31/2012,1144139,913303,689,230147,40722,2487,51574,-13339
Oelwein-Cresco,64329,12/31/2013,883068,776181,0,106887,37225,114208,43375,-120358
Cornerstone Community,64339,12/31/2018,20525137,17849935,130745,1904027,1057723,202695,901546,-56788
Cornerstone Community,64339,12/31/2005,14146804,12345740,35858,1867515,995926,271457,670788,53681
Cornerstone Community,64339,12/31/2006,13727831,11288619,527931,1986947,967243,268778,573585,124880
Cornerstone Community,64339,12/31/2007,13381788,11327202,34794,2018409,991732,395592,564676,31464
Cornerstone Community,64339,12/31/2008,13221469,11202402,40646,1987401,1025119,389975,665228,-30084
Cornerstone Community,64339,12/31/2009,15257350,13242333,10210,1992554,986864,329918,556015,6857
Cornerstone Community,64339,12/31/2010,14393078,12462298,25036,1894806,855182,219261,718671,-82750
Cornerstone Community,64339,12/31/2011,14556185,12550589,26264,1974644,835217,154224,584401,96592
Cornerstone Community,64339,12/31/2012,15631396,13599183,32718,1990302,805015,125654,590165,89196
Cornerstone Community,64339,12/31/2013,17278935,15222879,34211,2046253,835704,109122,649944,76638
Cornerstone Community,64339,12/31/2014,19286818,17125735,20644,2153452,889079,115042,666317,107720
Cornerstone Community,64339,12/31/2015,21608501,19359044,19028,2234862,962799,131348,747705,83746
Cornerstone Community,64339,12/31/2016,22712703,20222559,166972,2319037,1000983,150641,766273,84069
Cornerstone Community,64339,12/31/2017,22600166,20140973,36890,2051353,1001072,155432,1086703,-241168
IntegrUS,64348,12/31/2005,8866462,7424954,36148,1405360,413138,123074,283178,6886
IntegrUS,64348,12/31/2006,8273510,6893683,28458,1351369,404315,123503,334803,-53991
IntegrUS,64348,12/31/2007,9326925,7357347,621163,1348415,551672,154419,400206,-2953
IntegrUS,64348,12/31/2008,10287256,8285588,541187,1460481,658285,157811,388409,112065
IntegrUS,64348,12/31/2009,11802289,10308424,29193,1464672,789711,180674,547675,4191
IntegrUS,64348,12/31/2010,13599491,11919707,111126,1568658,774071,149538,520547,103986
IntegrUS,64348,12/31/2011,14702002,12997645,39064,1665293,813873,129633,587605,96635
IntegrUS,64348,12/31/2012,17131867,15150356,72543,1908968,884564,124114,605479,154971
IntegrUS,64348,12/31/2013,18672625,16669867,49904,1952854,893701,114709,735105,43887
IntegrUS,64348,12/31/2014,20959351,17859323,1217588,1882440,844877,91115,824176,-70414
IntegrUS,64348,12/31/2015,20117324,18147668,68336,1901320,930056,82600,828576,18880
IntegrUS,64348,12/31/2016,25370875,22190826,1051270,2128779,1320859,96788,1030258,193813
NGPL  Employees,64351,12/31/2018,2791220,1990537,0,790769,65900,19709,40966,5225
NGPL  Employees,64351,12/31/2005,2422472,1656536,38060,727876,112960,72003,40299,658
NGPL  Employees,64351,12/31/2006,2441290,1662388,37489,741413,129866,74735,41593,13538
NGPL  Employees,64351,12/31/2007,2314612,1542580,30522,741510,124663,67824,56742,97
NGPL  Employees,64351,12/31/2008,2425207,1649651,32623,742933,119105,64007,53674,1424
NGPL  Employees,64351,12/31/2009,2554465,1775951,30905,747609,121807,55047,48203,4674
NGPL  Employees,64351,12/31/2010,2773760,1998221,19587,755952,103614,42651,52619,8344
NGPL  Employees,64351,12/31/2011,2955094,2171873,24356,758865,97094,44885,49297,2912
NGPL  Employees,64351,12/31/2012,3100352,2322946,9664,767742,97207,40070,48260,8877
NGPL  Employees,64351,12/31/2013,3252349,2461697,18576,772076,85030,36232,44464,4334
NGPL  Employees,64351,12/31/2014,3370718,2583014,12893,774811,69184,25399,41051,2734
NGPL  Employees,64351,12/31/2015,3408358,2617153,13067,778138,66886,26033,37526,3327
NGPL  Employees,64351,12/31/2016,3154388,2357805,17081,778138,69378,29763,38252,1363
NGPL  Employees,64351,12/31/2017,2858966,2063247,0,785545,64239,20564,37632,6043
Polk County Schools Employees,64360,12/31/2005,7407681,6492870,13162,901649,455419,105739,318157,31523
Polk County Schools Employees,64360,12/31/2006,7380247,6405002,12708,962537,497663,130173,306602,60888
Polk County Schools Employees,64360,12/31/2007,7868329,6794036,11342,1062951,561773,156521,304873,100379
Polk County Schools Employees,64360,12/31/2008,8123119,6994847,12477,1115795,489541,135535,301162,52844
Polk County Schools Employees,64360,12/31/2009,8678916,7527211,12172,1139533,488951,84482,321666,23737
Polk County Schools Employees,64360,12/31/2010,9126891,7922899,13547,1190445,442839,61489,330438,50912
Polk County Schools Employees,64360,12/31/2011,9718249,8485026,13622,1219601,404763,46345,329261,29157
Polk County Schools Employees,64360,12/31/2012,10688491,9423905,17875,1246711,374564,37412,310044,27108
Polk County Schools Employees,64360,12/31/2013,10966854,9694171,15915,1256768,350161,29314,310790,10057
Polk County Schools Employees,64360,12/31/2014,10401647,9230188,15549,1155910,326462,15172,412273,-100983
Polk County Schools Employees,64360,12/31/2015,10824345,9620425,15148,1188772,364710,9063,323241,32406
Tradesmen Community,64361,12/31/2018,58949706,50347713,203908,8392732,3222855,444030,2206345,572480
Tradesmen Community,64361,12/31/2005,23768883,20260695,583599,2924589,2016439,282934,1457961,275544
Tradesmen Community,64361,12/31/2006,24727358,21324004,115029,3288325,2210787,385442,1461609,363736
Tradesmen Community,64361,12/31/2007,27213997,23161553,400484,3651960,2410788,533859,1513295,363634
Tradesmen Community,64361,12/31/2008,28743037,24854154,98578,3790305,2494671,516596,1839730,138345
Tradesmen Community,64361,12/31/2009,35529597,30153991,1099184,4276422,2679866,430385,1724632,486117
Tradesmen Community,64361,12/31/2010,34620187,29882072,137889,4600226,2624781,333862,1967115,323804
Tradesmen Community,64361,12/31/2011,37561046,32222873,315075,5023098,2697245,274678,1999696,422871
Tradesmen Community,64361,12/31/2012,41712868,36182873,162289,5367706,2535686,241826,1949253,344607
Tradesmen Community,64361,12/31/2013,43224744,37177997,214666,5832081,2512594,212724,1835493,464377
Tradesmen Community,64361,12/31/2014,46227367,39642294,335777,6248955,2457809,220924,1820011,416874
Tradesmen Community,64361,12/31/2015,48628452,41618876,250022,6759607,2568031,227654,1829725,510652
Tradesmen Community,64361,12/31/2016,52408649,44894894,240067,7271702,2703134,275799,1915240,512095
Tradesmen Community,64361,12/31/2017,55192878,46973024,388025,7820253,2868047,322810,1996686,548551
Des Moines Metro,64380,12/31/2018,55700815,47911656,1059224,6729935,2487071,180501,2059264,247306
Des Moines Metro,64380,12/31/2005,35206354,30161973,341671,4702710,2265528,451858,1636614,177056
Des Moines Metro,64380,12/31/2006,35077029,29770661,354889,4951479,2496391,618779,1628843,248769
Des Moines Metro,64380,12/31/2007,35144045,29526948,392578,5224519,2674815,759313,1642462,273040
Des Moines Metro,64380,12/31/2008,36599152,31204665,289148,5105339,2567668,679929,2006918,-119179
Des Moines Metro,64380,12/31/2009,39728304,34033149,337023,5358132,2533399,441804,1740348,252791
Des Moines Metro,64380,12/31/2010,40843340,34762275,625379,5455686,2321782,318184,1906044,97554
Des Moines Metro,64380,12/31/2011,42973511,37078228,316301,5578982,2259544,239765,1896483,123296
Des Moines Metro,64380,12/31/2012,45996728,39745509,561853,5689366,2090633,190535,1789713,110385
Des Moines Metro,64380,12/31/2013,46795967,40522480,442362,5831125,1980806,153639,1685408,141759
Des Moines Metro,64380,12/31/2014,48918186,42552194,413271,5952721,1904952,133328,1650028,121596
Des Moines Metro,64380,12/31/2015,50868435,44223991,544788,6099656,2045160,120460,1777764,146936
Des Moines Metro,64380,12/31/2016,51140747,44407555,461328,6271864,2066569,109340,1785021,172208
Des Moines Metro,64380,12/31/2017,54773256,47472795,817832,6482629,2234884,132713,1891407,210764
Public Employees,64390,12/31/2018,27792735,23591803,27233,4173699,850541,224745,506125,119671
Public Employees,64390,12/31/2005,20293557,17487931,19926,2785700,958975,337773,464844,156358
Public Employees,64390,12/31/2006,20305301,17365135,27000,2913166,1069983,484254,458264,127465
Public Employees,64390,12/31/2007,20597499,17528101,58473,3010925,1147677,538006,495077,114594
Public Employees,64390,12/31/2008,21167728,17967008,64697,3136023,1145436,503066,515209,127161
Public Employees,64390,12/31/2009,22278199,18975000,41694,3280403,1151081,388846,496035,125481
Public Employees,64390,12/31/2010,23802800,20599793,-112626,3426884,994849,294609,553759,146481
Public Employees,64390,12/31/2011,24953186,21652864,-81839,3506573,865921,258451,527781,79689
Public Employees,64390,12/31/2012,25985457,22575053,-38196,3597316,795873,216632,488498,90743
Public Employees,64390,12/31/2013,25732762,22231209,-124448,3683958,728985,176269,466074,86642
Public Employees,64390,12/31/2014,25647325,21869608,18086,3759631,716552,143101,497778,75673
Public Employees,64390,12/31/2015,26417549,22465423,32269,3919857,807255,153989,493040,160226
Public Employees,64390,12/31/2016,27173387,23169183,20228,3983976,740973,187938,488916,64119
Public Employees,64390,12/31/2017,27137977,23057253,26696,4054028,766063,195624,488694,81745
Best of Iowa Community,64391,12/31/2005,33165527,26028956,3502135,3634436,2209540,388480,1743719,77341
Best of Iowa Community,64391,12/31/2006,36541872,29931787,2839912,3770173,2477768,598049,1743983,135736
Best of Iowa Community,64391,12/31/2007,37434984,28680357,4887707,3866920,2815282,831836,1886699,96747
Best of Iowa Community,64391,12/31/2008,39931015,29174397,7168753,3921667,2868505,697676,2116082,54747
Best of Iowa Community,64391,12/31/2009,44891494,34571180,6537237,4084032,3315723,630538,2285171,162366
AY  McDonald Employees,64392,12/31/2005,820922,701816,1500,117606,42566,13179,27809,1578
AY  McDonald Employees,64392,12/31/2006,815328,694585,1426,119317,46644,16950,27984,1710
AY  McDonald Employees,64392,12/31/2007,726839,605474,1049,120316,43909,14696,28213,1000
AY  McDonald Employees,64392,12/31/2008,675467,552364,327,122776,37483,9837,25186,2460
AY  McDonald Employees,64392,12/31/2009,679890,558192,359,121339,36865,6255,27390,-1436
AY  McDonald Employees,64392,12/31/2010,661509,543745,208,117556,33210,3691,33301,-3782
AY  McDonald Employees,64392,12/31/2011,673407,554917,323,118167,28947,2640,25696,611
AY  McDonald Employees,64392,12/31/2012,709003,589200,487,119316,25425,2075,21571,1779
AY  McDonald Employees,64392,12/31/2013,669819,554076,299,115444,19945,2572,21245,-3872
AY  McDonald Employees,64392,12/31/2014,680143,565728,4491,109924,17037,2377,20181,-5521
HI-TEC,64395,12/31/2005,2942650,2582502,11160,348988,204940,16190,161418,27332
HI-TEC,64395,12/31/2006,2807222,2430003,10381,366838,211248,19102,174296,17850
HI-TEC,64395,12/31/2007,2754537,2355063,12938,386536,220847,19500,181650,19697
HI-TEC,64395,12/31/2008,2701250,2303270,10856,387124,203174,14336,188250,588
HI-TEC,64395,12/31/2009,2775775,2408757,10345,356673,204663,9608,222051,-30451
Sioux Valley Community,64417,12/31/2018,28391057,24081243,175183,4134631,1338527,32567,1343030,-37070
Sioux Valley Community,64417,12/31/2005,20744718,16606593,188345,3949780,930787,92832,781998,55957
Sioux Valley Community,64417,12/31/2006,19400870,15153824,211362,4035684,995238,109240,800093,85905
Sioux Valley Community,64417,12/31/2007,19442650,15108350,197697,4136603,1068135,167891,799326,100918
Sioux Valley Community,64417,12/31/2008,19353144,14996933,169480,4186731,1022358,163953,808279,50126
Sioux Valley Community,64417,12/31/2009,20767926,16435168,168908,4163850,966782,94529,773317,-22879
Sioux Valley Community,64417,12/31/2010,21400151,17094464,189149,4116538,829697,54333,822676,-47312
Sioux Valley Community,64417,12/31/2011,22186362,17929499,180589,4076274,756804,35874,761193,-40263
Sioux Valley Community,64417,12/31/2012,22703259,18511004,199153,3993102,678944,26062,736055,-83173
Sioux Valley Community,64417,12/31/2013,23066524,18932485,165065,3968974,734283,22641,735768,-24126
Sioux Valley Community,64417,12/31/2014,24925813,20804229,98322,4023262,871368,23032,795809,52527
Sioux Valley Community,64417,12/31/2015,27462626,23179711,183724,4099191,1021518,29279,916311,75928
Sioux Valley Community,64417,12/31/2016,28217596,23780432,191978,4245186,1205684,32874,1026815,145995
Sioux Valley Community,64417,12/31/2017,30188102,25801056,215343,4171703,1140322,33346,1180460,-73484
Veridian,64418,12/31/2018,4145422058,3438564612,47016881,402349838,205904299,34455884,116155069,50628531
Veridian,64418,12/31/2005,1077418439,943342574,29420268,106287458,64077826,16862206,41785567,5430053
Veridian,64418,12/31/2006,1176693923,1044568741,20778257,112450608,74283943,25082314,43038479,6163150
Veridian,64418,12/31/2007,1284209174,1141363622,22907515,119474196,86176993,33169190,45984216,7023587
Veridian,64418,12/31/2008,1430923931,1271069585,32150806,130049083,98005104,33665425,53765492,10574187
Veridian,64418,12/31/2009,1689420447,1489531190,49561516,147171431,107381254,29193934,59095230,17122347
Veridian,64418,12/31/2010,1783385449,1582920904,25008177,172170709,111247182,23753713,62494191,24999278
Veridian,64418,12/31/2011,2019283703,1791209915,23951050,197255985,111577893,21634425,64858192,25085276
Veridian,64418,12/31/2012,2350047928,2093344446,27909894,221211382,111429234,21527420,65946417,23955397
Veridian,64418,12/31/2013,2433983009,2164394101,25150877,243425601,113732371,18073824,73444328,22214219
Veridian,64418,12/31/2014,2640538050,2338840435,31911392,268038203,122422134,16919322,80861413,24641399
Veridian,64418,12/31/2015,2952893688,2549573712,108456870,295439196,130656539,18780672,84474874,27400993
Veridian,64418,12/31/2016,3101782638,2747342624,40380704,314222998,134358264,21828510,93745952,18783802
Veridian,64418,12/31/2017,3558094305,3049694647,49422321,351721306,166281453,24201038,103641690,37498308
Federal Employees,64443,12/31/2005,13211730,11979777,84867,1147086,875022,126103,691986,56933
Federal Employees,64443,12/31/2006,12885037,11582272,33570,1269195,983318,209367,663842,110109
Federal Employees,64443,12/31/2007,12899471,11500964,50414,1348093,1022093,224596,718599,78898
Federal Employees,64443,12/31/2008,13727686,12304365,44375,1378946,943147,162186,750108,30853
Federal Employees,64443,12/31/2009,19484202,17392027,61800,2030375,1184700,142132,1012100,-94636
Federal Employees,64443,12/31/2010,18857316,16913927,47933,1895456,1059046,110287,1083679,-134920
Federal Employees,64443,12/31/2011,18269362,16393719,69858,1805785,959266,74129,974807,-89670
Federal Employees,64443,12/31/2012,18516464,16707964,57921,1750579,872868,45080,882994,-55206
Federal Employees,64443,12/31/2013,18514518,16677187,66208,1771123,877796,25389,831863,20544
Northwestern States Cement Employee's,64468,12/31/2005,1000823,690108,16709,294006,76419,4119,66552,5748
Northwestern States Cement Employee's,64468,12/31/2006,925638,599978,24349,301311,80664,5389,67970,7305
Northwestern States Cement Employee's,64468,12/31/2007,957516,634268,18868,304380,81238,7258,70912,3068
Northwestern States Cement Employee's,64468,12/31/2008,976373,647919,17729,310725,83535,6655,70535,6345
Northwestern States Cement Employee's,64468,12/31/2009,1002116,679072,17702,305342,75747,4218,71468,-5382
Northwestern States Cement Employee's,64468,12/31/2010,880905,564453,10703,305749,71444,2366,68983,95
Northwestern States Cement Employee's,64468,12/31/2011,812697,496728,1862,314107,73964,1817,70166,1981
Northwestern States Cement Employee's,64468,12/31/2012,868987,559649,1589,307749,69534,1817,70479,-2762
Northwestern States Cement Employee's,64468,12/31/2013,831932,541663,2338,287931,53679,1666,71367,-19354
Northwestern States Cement Employee's,64468,12/31/2014,724565,432535,10701,281329,61974,1053,67523,-6602
Waterloo Police,64469,12/31/2005,2377316,2017154,0,360162,109058,37090,65549,6419
Waterloo Police,64469,12/31/2006,2265601,1897091,4240,364270,118783,49464,65210,4109
Waterloo Police,64469,12/31/2007,2433713,2052274,12187,369252,124914,57239,62695,4980
Waterloo Police,64469,12/31/2008,2780468,2394174,10604,375690,130804,63154,61211,6439
Waterloo Police,64469,12/31/2009,2801284,2417162,8296,375826,132928,55208,57486,136
Waterloo Police,64469,12/31/2010,2675814,2294318,5284,376212,97756,32473,64795,488
Waterloo Police,64469,12/31/2011,2668787,2286780,5603,376404,87818,23492,64134,192
Waterloo Police,64469,12/31/2012,2731532,2358431,4684,368417,78762,22870,63873,-7981
Waterloo Police,64469,12/31/2013,2424141,2058790,2180,363171,65783,14175,56854,-5246
Waterloo Police,64469,12/31/2014,2216836,1856730,2444,357662,56191,6355,55345,-5509
Du Trac Community,64471,12/31/2018,709901629,616168803,3059643,91715509,34299673,2395102,20869485,7792571
Du Trac Community,64471,12/31/2005,271616648,226189321,11235122,34836610,17034624,3960804,11525255,1548565
Du Trac Community,64471,12/31/2006,286200601,246240330,3537907,36899491,19707224,5578781,12065562,2062881
Du Trac Community,64471,12/31/2007,325588603,280745242,3823425,40991699,24344940,8008415,13372813,2963712
Du Trac Community,64471,12/31/2008,359084020,312196509,3646102,44149854,25212174,7552038,14501981,3158155
Du Trac Community,64471,12/31/2009,450572877,401221357,4377097,46643447,28537107,7972355,15029541,2493593
Du Trac Community,64471,12/31/2010,483292390,428833017,3484429,49659856,25438154,6917845,15503900,3016409
Du Trac Community,64471,12/31/2011,514639100,454705539,3452704,52614445,25850532,5869989,17025954,2954589
Du Trac Community,64471,12/31/2012,551536733,485601464,3251400,58581728,25956590,4778098,16491701,4686791
Du Trac Community,64471,12/31/2013,571662054,505778931,3348654,62936317,25260490,3914639,16991261,4354590
Du Trac Community,64471,12/31/2014,620315533,547710792,3314126,69502410,26805488,3751478,17981243,5072767
Du Trac Community,64471,12/31/2015,623440087,547628610,3546496,75023963,25082591,3196764,18369809,3516018
Du Trac Community,64471,12/31/2016,657746307,568401481,13020898,78747499,26002478,3050700,19228243,3723535
Du Trac Community,64471,12/31/2017,704921520,614954680,2786023,83922939,28639885,2996599,19881315,5175440
Des Moines County Postal,64480,12/31/2005,2650612,2200510,1708,448394,118282,34065,80067,4150
Des Moines County Postal,64480,12/31/2006,2398324,1942479,1989,453856,124669,49140,70067,5462
Des Moines County Postal,64480,12/31/2007,2330122,1871783,2264,456075,130699,57030,71450,2219
Des Moines County Postal,64480,12/31/2008,2749284,2290633,2173,456478,127915,51286,76226,403
Des Moines County Postal,64480,12/31/2009,2903440,2437939,2372,463129,136388,35887,74527,6651
Des Moines County Postal,64480,12/31/2010,3009815,2538539,2375,468901,112308,25910,80626,5772
Des Moines County Postal,64480,12/31/2011,2939273,2464676,2449,472148,98714,14264,81203,3247
Des Moines County Postal,64480,12/31/2012,2991433,2516285,2403,472745,91633,7758,83278,597
Des Moines County Postal,64480,12/31/2013,2867804,2394431,579,472794,87741,6222,81470,49
Des Moines County Postal,64480,12/31/2014,2697968,2224171,730,473067,82303,7223,74807,273
Des Moines County Postal,64480,12/31/2015,2369857,1895944,673,473240,82200,7648,74378,174
Des Moines County Postal,64480,12/31/2016,2418762,1943013,2214,473535,83158,9534,73329,295
Des Moines County Postal,64480,12/31/2017,2168503,1693084,2648,472771,89018,8886,80897,-765
KCSE,64667,12/31/2005,1776517,1579769,951,195797,93882,29753,55174,8955
KCSE,64667,12/31/2006,1488854,1289252,2254,197348,92684,35234,55899,1551
Cryovac Employees',64672,12/31/2005,2401931,1880077,8133,513721,154557,31693,85221,37643
Cryovac Employees',64672,12/31/2006,2367003,1810710,9641,546652,162766,38588,91245,32933
Cryovac Employees',64672,12/31/2007,2449865,1863945,7177,578743,168768,39703,96975,32090
Cryovac Employees',64672,12/31/2008,2676469,2062265,7988,606216,167585,45423,94689,27473
Midwest Federal Employees,64727,12/31/2005,7045034,6120002,20960,904072,362218,59888,274079,28251
Midwest Federal Employees,64727,12/31/2006,6819197,5884567,27042,907588,388363,93873,290974,3516
Midwest Federal Employees,64727,12/31/2007,6630664,5673720,37731,919213,412938,140364,260949,11625
Midwest Federal Employees,64727,12/31/2008,6917473,5927544,47139,942790,405584,133425,248581,23578
Midwest Federal Employees,64727,12/31/2009,7977704,6990443,24252,963009,393531,111875,211254,20217
Midwest Federal Employees,64727,12/31/2010,8202078,7198631,18220,985227,318230,52473,243539,22218
Midwest Federal Employees,64727,12/31/2011,7677593,6661284,19847,996462,271609,18582,246198,6829
Midwest Federal Employees,64727,12/31/2012,8043642,7037447,10504,995691,250144,19615,231300,-771
Midwest Federal Employees,64727,12/31/2013,7740275,6770122,5456,964697,199666,14915,211919,-27168
Midwest Federal Employees,64727,12/31/2014,7222282,6262320,9225,950737,185161,9922,189199,-13960
AMPI,64732,12/31/2005,826119,706165,0,119954,37576,24596,12523,457
AMPI,64732,12/31/2006,698029,577721,0,120308,36765,22760,13651,354
Von Maur Employees,64770,12/31/2005,435036,364849,1206,68981,24640,1804,22018,818
Von Maur Employees,64770,12/31/2006,458285,386075,1788,70422,27271,2056,23774,1441
Von Maur Employees,64770,12/31/2007,448298,373050,2113,73135,31013,2972,25328,2713
Von Maur Employees,64770,12/31/2008,467636,392040,1731,73865,28193,2840,24623,730
Von Maur Employees,64770,12/31/2009,505779,432461,870,72448,30108,2000,26190,-1417
Von Maur Employees,64770,12/31/2010,512523,437726,1900,72897,28484,1303,26733,448
Von Maur Employees,64770,12/31/2011,484033,415417,599,68017,25470,555,29794,-4879
Von Maur Employees,64770,12/31/2012,535837,469725,699,65413,25782,553,27833,-2604
Warren,64790,12/31/2018,4497440,3476688,5224,1015501,184185,51769,129735,2681
Warren,64790,12/31/2005,6922975,5834548,13063,1075364,459100,208671,175100,75329
Warren,64790,12/31/2006,7049321,5831784,13323,1204214,517860,231072,157937,128851
Warren,64790,12/31/2007,7129778,5770099,11010,1348669,570561,236000,190106,144455
Warren,64790,12/31/2008,7617626,6196066,10164,1411396,548600,233056,252816,62728
Warren,64790,12/31/2009,7512395,6642452,10013,859930,560023,141453,922083,-551467
Warren,64790,12/31/2010,6339442,5689056,6031,644355,392174,17269,590479,-215574
Warren,64790,12/31/2011,5854324,4907950,14146,932228,295423,12925,176626,105872
Warren,64790,12/31/2012,4556904,3560981,29730,966193,228251,27848,166438,33965
Warren,64790,12/31/2013,4429471,3431673,17334,980464,199644,41886,143487,14271
Warren,64790,12/31/2014,4210053,3205904,16129,988020,177691,34043,136092,7556
Warren,64790,12/31/2015,4157355,3140739,5607,1011009,185334,47212,125498,12624
Warren,64790,12/31/2016,4264245,3248133,4142,1011970,159460,36313,122183,964
Warren,64790,12/31/2017,4651562,3634406,4312,1012820,161167,30489,129828,850
Casebine Community,64868,12/31/2018,29532429,23751181,204054,5065011,1655796,14842,1542465,62723
Casebine Community,64868,12/31/2005,23242514,19352089,228107,3661788,1600877,232004,1086593,282280
Casebine Community,64868,12/31/2006,22658802,18490317,245173,3923305,1741031,283374,1196139,261518
Casebine Community,64868,12/31/2007,24166709,19663189,249412,4254076,1875384,408262,1173324,293798
Casebine Community,64868,12/31/2008,25808008,21256117,223867,4328024,1883080,464386,1344756,73938
Casebine Community,64868,12/31/2009,27155287,22482450,132751,4540086,1916459,270994,1261076,212072
Casebine Community,64868,12/31/2010,28313415,23334008,200590,4778817,1785729,216440,1368238,201051
Casebine Community,64868,12/31/2011,29485783,24391743,105675,4988365,1706945,177707,1319691,209547
Casebine Community,64868,12/31/2012,32700773,27483647,133579,5086259,1858463,156388,1629180,72895
Casebine Community,64868,12/31/2013,31054939,25728268,156750,5180908,1844632,72228,1677754,94650
Casebine Community,64868,12/31/2014,32318642,26383907,668519,5269634,1785204,52517,1644965,87722
Casebine Community,64868,12/31/2015,32668576,27118816,196832,5356683,1851662,69889,1694725,87048
Casebine Community,64868,12/31/2016,34147606,27300332,1755421,5095534,1699880,75714,1885314,-261148
Casebine Community,64868,12/31/2017,31207884,24903393,290934,5002286,1684626,32465,1705579,-93247
5 Star Community,64878,12/31/2018,33907547,30681830,100111,3160047,1717827,121337,1464563,130976
5 Star Community,64878,12/31/2005,13957593,12292806,133537,1531250,1059000,149530,625930,283540
5 Star Community,64878,12/31/2006,14807273,12658442,408643,1740188,1249987,242189,798860,208938
5 Star Community,64878,12/31/2007,16247291,14101386,189611,1956294,1386047,332460,837480,216107
5 Star Community,64878,12/31/2008,14429145,12787550,282968,1358627,1361012,280039,1677732,-596759
5 Star Community,64878,12/31/2009,15137030,13295823,187520,1653687,1285573,134471,754164,295061
5 Star Community,64878,12/31/2010,15710258,13290268,481142,1938848,1140774,100194,755418,285162
5 Star Community,64878,12/31/2011,17958033,15879525,30885,2047623,1135766,112061,914930,108775
5 Star Community,64878,12/31/2012,18643921,16459134,65416,2119371,1130974,84445,936779,109750
5 Star Community,64878,12/31/2013,25887284,22696213,49173,3141898,1115609,60647,984589,70373
5 Star Community,64878,12/31/2014,27213887,24176866,90874,2941876,1207481,56701,1395993,-245213
5 Star Community,64878,12/31/2015,27863832,24825229,84592,2963833,1359416,67034,1270425,21957
5 Star Community,64878,12/31/2016,29610774,26582000,128381,2992666,1378846,78248,1271764,28834
